Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,City,State,Zipcode,,,
FY 2012,12/3/11,11/28/11,Joe's Towing and Recovery Service, Commerce City,CO,80022,,,Worker unloading a semi-truck was crushed by a tow truck.
FY 2012,8/18/12,8/11/12,E&R Roll Off Services LLC, Commerce City,CO,80022,,,Worker died after falling in between the rear tires of a semi-truck after the truck lunged forward.
FY 2012,2/18/12,2/14/12,CEMCO Steel, Denver,CO,80204,,,Worker was caught between a forklift and a coil of steel.
FY 2012,5/12/12,5/8/12,High Ball Erector LLC, Boulder,CO,80303,,,Worker conducting steel erection activities was fatally wounded.
FY 2012,12/24/11,12/13/11,The Pruner Tree Services, Fort Collins,CO,80525,,,Worker was killed after being struck by a fallen tree branch while performing tree trimming activities.
FY 2012,11/19/11,11/14/11,Century Link, Loveland,CO,80537,,,Worker died after falling from an extension ladder in the back yard of a residential home.
FY 2012,7/28/12,7/21/12,Public Service of Colorado, Lyons,CO,80540,,,Worker performing work on a gas pipeline died from cardiac arrest.
FY 2012,4/21/12,4/11/12,Roggen Farmers Elevator Association, Roggen,CO,80652,,,Worker loading a large empty sila plastic bag into a mechanical device died when his body became caught in the bagging mechanism.
FY 2012,3/17/12,3/15/12,Kelley Bean Company Inc., Brush,CO,80723,,,Worker was engulfed after standing on a pile of beans at a bean plant.
FY 2012,6/9/12,6/1/12,Eastern Colorado Tire, Burlington,CO,80807,,,Worker inflating an irrigation tire was killed when the tire exploded.
FY 2012,6/30/12,6/14/12,Dragon Man's Shooting Range, Colorado Springs,CO,80929,,,Worker on the set of a TV show was killed by a smoke bomb.
FY 2012,4/28/12,4/24/12,Evraz Rocky Mountain Steel, Pueblo,CO,81004,,,Worker was run over and killed by a powered industrial truck.
FY 2012,10/8/11,10/4/11,US Army Environmental Division, Trinidad,CO,81082,,,Worker was injured during a vehicle accident.
FY 2012,6/30/12,6/28/12,Key Energy Services, Arboles,CO,81121,,,Worker performing rigging operations died after falling from the rig platform.
FY 2012,1/14/12,1/9/12,Sarano's Inc., Ignacio,CO,81137,,,Worker transporting water from a water truck was run over and killed when the truck's brakes failed.
FY 2012,8/4/12,7/31/12,Mountain Barricade, Westcliffe,CO,81252,,,Worker doing flagging operations was struck and killed by a vehicle.
FY 2012,6/30/12,6/25/12,BP Petroleum, Durango,CO,81303,,,Worker at a gas compression station was killed during an explosion.
FY 2012,11/12/11,11/6/11,Suchocki & Son, Lisbon,CT,6351,,,Worker performing tree maintenance was run over and killed by an excavator.
FY 2012,7/28/12,7/23/12,Tayco Corp., Wallingford,CT,6492,,,"Worker operating a truck on a dirt surface was crushed when the truck tipped over, pinning the worker underneath."
FY 2012,7/21/12,7/12/12,Welding Services Inc., Stamford,CT,6902,,,Worker was electrocuted while reinforcing steel.
FY 2012,5/5/12,4/28/12,DSNK Corporation, Washington,DC,20002,,,"Worker lifting guardrails up to a third floor balcony died when the guardrail he leaned against collapsed, causing him to fall 21 feet to the concrete."
FY 2012,7/7/12,5/22/12,AJG Inc., Washington,DC,20008,,,Worker died after falling through a floor opening at a residential construction site.
FY 2012,6/23/12,6/19/12,A & S Trucking, Washington,DC,20018,,,Worker picking up mail from an office trailer was struck and killed by a dump truck.
FY 2012,4/21/12,4/13/12,Savanna Auto Care, Newark,DE,19702,,,"Worker on top of a lift gate while repairing a truck's hydraulic pump was killed when the pump turned on and the gate lifted, pinning the worker between the gate and the truck."
FY 2012,2/18/12,2/14/12,Ansley Unprocessed Products Inc., Orange Park,FL,32065,,,Worker was crushed by a bobcat that flipped during a wind gust.
FY 2012,7/21/12,7/18/12,Bonedty Enterprises Inc., St. Augustine,FL,32080,,,Worker on a tractor cutting grass was killed after being struck by a vehicle and thrown from the tractor.
FY 2012,11/19/11,11/11/11,Gilyard Enterprises, Palatka,FL,32177,,,Worker was struck on the head and killed by a log that fell from his load.
FY 2012,1/21/12,1/12/12,New Charter Electric, Jacksonville,FL,32209,,,Worker was killed when he reached up to close a fuse feeding a 26 KV transmission circuit.
FY 2012,8/18/12,8/16/12,Bacardi Bottling Corp., Jacksonville,FL,32218,,,Worker cleaning up broken glass at a bottling plant died after being crushed by a machine that molds materials into pellet shapes.
FY 2012,2/11/12,2/10/12,Kesmarc LLC, Ocala,FL,32268,,,Worker treating a horse inside a hyperbaric oxygen therapy chamber was killed when an explosion occurred inside the chamber.
FY 2012,10/1/11,9/27/11,Monroe Drywall Construction, Panama City,FL,32405,,,Worker installing drywall was electrocuted when he touched a 480-volt wire.
FY 2012,7/14/12,7/9/12,Coastal Parasail, Panama City Beach,FL,32408,,,Worker collecting trash was run over by a trash truck.
FY 2012,8/11/12,8/2/12,D&B Builders Inc., Fort Walton Beach,FL,32577,,,Worker died after falling 15 feet out of a trash box being lifted by a forklift.
FY 2012,6/30/12,6/14/12,Ball Fabrics Inc., Deland,FL,32720,,,Worker making roof repairs fell 35 feet through a skylight.
FY 2012,8/11/12,7/31/12,Assured Realty, Orlando,FL,32805,,,Worker died after a tree fell on him while performing tree trimming and cutting activities.
FY 2012,10/1/11,9/26/11,Mohawk Industries, Orlando,FL,32819,,,Worker was found unresponsive on a warehouse floor.
FY 2012,7/14/12,7/10/12,Pioneers International, Orlando,FL,32832,,,Worker operating a riding lawn mower was found in a canal pinned underneath the mower.
FY 2012,9/8/12,8/25/12,Stone & Surface Designers Inc., Cocoa,FL,32926,,,Worker died after a granite slab fell on him.
FY 2012,5/12/12,5/8/12,Intercostal Roofing Solutions LLC, Orchid,FL,32967,,,Worker laying down sealant on a roof died after falling 40 feet to the cement ground.
FY 2012,3/31/12,3/18/12,Community Asphalt Corporation, Vero Beach,FL,32967,,,"Worker refueling the company truck slipped and fell to the ground, sustaining rib fractures. He later died from health complications."
FY 2012,8/11/12,7/31/12,Bryan's Door Inc., Hialeah Gardens,FL,33016,,,Employee assisting forklift operator died after being crushed by the forklift load.
FY 2012,12/3/11,11/28/11,LNB Farms, Homestead,FL,33030,,,Worker was electrocuted after bobcat carrying trees touched an overhead power lines.
FY 2012,8/11/12,8/2/12,Ames Group LLC, Homestead,FL,33035,,,Worker collapsed and hit his head on a pipe. Worker suffered a possible heart attack.
FY 2012,4/21/12,4/13/12,Svensk Management Inc., Lauderdale Lakes,FL,33067,,,Worker died after falling while walking down a set of stairs.
FY 2012,8/11/12,8/1/12,J&M Contractors of South Florida Inc., Parkland,FL,33067,,,Roofing worker died after falling from a structure onto the ground.
FY 2012,4/14/12,4/6/12,A-1 Property Services Group Inc., Doral,FL,33122,,,Worker painting a roof died after falling 25 feet through a skylight.
FY 2012,9/8/12,8/26/12,All Florida Tree & Landscape Inc., Ft Lauderdale,FL,33126,,,Tree trimmer was electrocuted after contacting a power line
FY 2012,10/1/11,9/10/11,APER Construction, Port of Miami,FL,33132,,,Worker operating an excavator died when he was thrown forward in the cab and hit his head on the machine's support bar.
FY 2012,1/21/12,1/13/12,Commercial Forming Corporation, Coral Gables,FL,33134,,,Worker was struck by welding machine cart that came loose while the welding machine was being lifted.
FY 2012,3/17/12,3/7/12,Neftail Lawn Care, Coral Gables,FL,33156,,,Worker using an extended saw to cut down tree palms was electrocuted when the palm swayed and touched a power line.
FY 2012,4/14/12,4/2/12,Eldesisca Services Inc., Doral,FL,33172,,,Worker painting a warehouse building roof died after falling 35 feet through a skylight.
FY 2012,9/8/12,8/27/12,Forward Air Solutions Inc., Medley,FL,33178,,,Worker died from head injuries after falling off of a conveyor.
FY 2012,1/21/12,1/12/12,The De Moya Group Inc., Miami,FL,33186,,,Worker was struck by a vehicle.
FY 2012,8/11/12,8/2/12,Best-Tec Asbestos Abatement Inc., West Palm Beach,FL,33401,,,Employee died after falling approximately 12 feet while removing ceiling tiles.
FY 2012,6/2/12,5/15/12,Coastal Chemical, Lake Park,FL,33403,,,Worker filling a chlorine tank died from exposure to the chemical.
FY 2012,12/17/11,12/7/11,Road Safe Traffic Systems, Naples,FL,33412,,,Worker picking up road barricades while riding on the back bumper of a company truck died from head injuries when he fell off.
FY 2012,3/31/12,3/23/12,Troon Golf LLC, Palm Beach Gardens,FL,33418,,,"Worker driving a cart on a golf course drowned when the cart landed in a lake, pinning him underwater."
FY 2012,1/28/12,1/2/12,Emerald Transportation Corporation, Boynton Beach,FL,33426,,,Worker was loading a vehicle onto a tow truck when he was struck by a car.
FY 2012,3/31/12,3/21/12,A & D Air Conditioning & Refrigeration Inc., Boca Raton,FL,33432,,,Worker installing piping and sheet metal to the HVAC system of a restaurant died after falling 40 feet through the building's shaft.
FY 2012,6/9/12,4/2/12,MDL Property Management Inc., Boynton Beach,FL,33437,,,Worker operating a riding lawn mower died from burns after the mower exploded.
FY 2012,6/9/12,5/24/12,Applied Aquatic Management Inc., Clewiston,FL,33440,,,Worker for a wetland management company died after his airboat collided with another.
FY 2012,12/17/11,12/12/11,Reillys Tree Cutting Service, Deerfield Beach,FL,33441,,,Worker trimming trees was electrocuted after contacting a high voltage line.
FY 2012,4/28/12,4/17/12,General Asphalt Co. Inc., Deerfield Beach,FL,33441,,,Worker repaving part of a highway was killed after being run over by a dump truck.
FY 2012,12/17/11,12/6/11,Prudencio Pereda, Palm Springs,FL,33461,,,"Worker died when a 3,000-pound commercial oven he was loading fell off the manual forklift, crushing him."
FY 2012,9/15/12,8/17/12,Waste Pro USA Inc., Loxahatchee,FL,33470,,,Employee operating a waste truck was crushed when it tipped over.
FY 2012,1/7/12,12/29/11,Native Power, Jupiter,FL,33477,,,Worker removing a phone line was electrocuted when he cut into a live power line.
FY 2012,8/4/12,7/26/12,Colors Construction Inc., Boca Raton,FL,33487,,,Worker performing construction activities died when he was ejected nearly 30 feet from an aerial lift.
FY 2012,6/30/12,6/14/12,Sugar Farms Co-op, South Bay,FL,3349,,,Farm worker died after he drove his tractor with a spray rig into a canal.
FY 2012,6/30/12,6/27/12,Florida Natives Nursery Inc., Englewood,FL,33565,,,Worker drowned after being pinned underwater by an overturned dozer.
FY 2012,12/3/11,11/29/11,Sigma Services, Plant City,FL,33596,,,Worker repairing company's front gate was found unresponsive inside utility vehicle.
FY 2012,8/25/12,8/20/12,Woodruff & Sons Inc., Tampa,FL,33601,,,Worker was killed after being struck by an excavator's bucket
FY 2012,6/30/12,6/12/12,Dynamic Concrete Solutions LLC, Tampa,FL,33610,,,Worker performing roof repairs died after falling 60 feet.
FY 2012,1/14/12,1/10/12,Southwest Signal, Tampa,FL,33619,,,Worker was struck and killed by a passing vehicle.
FY 2012,2/11/12,1/31/12,Backwoods Inc., Tampa,FL,33619,,,Worker demolishing a metal container for scrap was killed when the panel struck his head.
FY 2012,12/31/11,12/18/11,Traffic Services, Palm Harbor,FL,33772,,,Worker moving traffic control equipment from one side of the street was struck and killed by a vehicle.
FY 2012,12/31/11,12/28/11,JFS Food Mart, Seminole,FL,33772,,,Worker was shot during a robbery.
FY 2012,12/10/11,12/1/11,Central Florida Irrigation Services, Avon Park,FL,33825,,,Worker loading machinery onto a utility truck was electrocuted when the truck's lift touched an overhead power line.
FY 2012,12/3/11,12/1/11,Bevis Construction, Sebring,FL,33875,,,Worker died when he fell from a pallet elevated by a forklift.
FY 2012,1/28/12,1/22/12,Ritchie Brothers Auction, Davenport,FL,33897,,,Worker fell from a forklift and was then run over by the forklift.
FY 2012,12/3/11,11/23/11,DBI Services, Ft. Myers,FL,33905,,,Road maintenance worker was killed when he was hit by a car.
FY 2012,9/15/12,9/4/12,Cutting Edge Molding, Bonita Springs,FL,34133,,,Worker operating an aerial lift was electrocuted after contacting an overhead power line.
FY 2012,12/31/11,12/26/11,Broadcast Tower & Antenna Services, Bonita Springs,FL,34135,,,Worker was electrocuted while repairing a beacon at the top of a communications tower.
FY 2012,11/26/11,11/16/11,Wm. P Bearne Produce, Palmetto,FL,34221,,,Worker was electrocuted when the tractor he was driving touched an overhead power line.
FY 2012,5/19/12,5/14/12,Logistec USA Corp., Palmetto,FL,34221,,,Worker performing marine cargo handling activities was killed when a crane fell on him.
FY 2012,12/17/11,12/13/11,Enerfab, Arcadia,FL,34266,,,Worker performing welding tasks inside a steel tank was killed when he fell 55 feet from scaffolding.
FY 2012,12/31/11,12/28/11,Johnson Harvesting, Arcadia,FL,34266,,,Worker was picking oranges and died after falling from a ladder.
FY 2012,6/2/12,5/25/12,Ocala Electric Utility, Ocala,FL,34482,,,Worker was electrocuted while repairing a damaged transmission line.
FY 2012,1/7/12,1/3/12,Krush Sports & Entertainment, Brooksville,FL,34602,,,Worker drowned while collecting golf balls from the bottom of a golf course pond.
FY 2012,11/19/11,11/8/11,T. Mar Enterprises S.E., Brooksville,FL,34604,,,A construction worker removing paint strips from road was struck and killed by a vehicle.
FY 2012,12/3/11,11/21/11,Experience Works Inc., New Port Richey,FL,34668,,,Worker died after slipping and falling on a wet floor.
FY 2012,2/25/12,2/21/12,Ferman BMW of Palm Harbor, Palm Harbor,FL,34684,,,Worker died after falling out of a golf cart.
FY 2012,8/4/12,7/26/12,Beyers Welding Inc., Saint Cloud,FL,34772,,,Worker performing welding work was electrocuted.
FY 2012,1/14/12,1/6/12,Bernard Egan & Company, Ft. Pierce,FL,34946,,,Truck repairman was killed when the truck he was repairing fell on him.
FY 2012,6/30/12,6/9/12,Recycling Services of Indiantown LLC, Indiantown,FL,34956,,,"Worker using a torch to cut a propane tank died from burns suffered when the propane ignited, causing a fire."
FY 2012,11/26/11,11/3/11,Lykes Bros., Okeechobee,FL,34974,,,Worker riding a horse while performing routine work at a ranch fell off and was killed when the horse stepped on his torso and face.
FY 2012,12/10/11,12/1/11,AGS Waterproofing, Atlanta,GA,,,,Two workers were killed when the crane they were operating collapsed.
FY 2012,2/18/12,1/9/12,John P. Wood Inc., Cumming,GA,30040,,,Worker operating a skid steer was killed when a fallen tree pinned him against the seat bar.
FY 2012,7/7/12,6/15/12,Lakewood 400 Antiques Market LLC, Cumming,GA,30040,,,"Worker at an antiques market was crushed by a 2,600-pound pill press machine."
FY 2012,1/28/12,10/1/11,Miguel Martinez Construction, Lawrenceville,GA,30044,,,Worker was framing a house and fell 3 stories.
FY 2012,5/12/12,5/7/12,Malon D Mimms, Roswell,GA,30075,,,Worker on a roof taking measurements of the HVAC units died after falling 21 feet.
FY 2012,12/17/11,12/9/11,Action Electric Co., Smyrna,GA,30080,,,"Worker installing a cooling fan died when the fan fell, pinning him underneath it."
FY 2012,4/28/12,3/22/12,Leeman Architectural Woodwork, Powder Spring,GA,30127,,,Forklift operator was crushed between the lift's mast and truck while attempting to release a dump bucket attached to the forks.
FY 2012,12/17/11,12/13/11,Aerospace Fabrications of Georgia, Dallas,GA,30132,,,"Worker handling an abrasive waterjet machine died from injuries when a high pressure water line coupling failed, causing the water to hit the worker in the chest."
FY 2012,3/3/12,2/22/12,AB Construction Inc., Dallas,GA,30157,,,Worker wearing a horizontal lifeline that was connected to an aircraft hangar under construction was killed when the building collapsed.
FY 2012,2/25/12,2/22/12,Renner Construction, Palmetto,GA,30268,,,"Worker performing residential construction died when he fell off the roof, landing on the lower deck."
FY 2012,8/11/12,8/8/12,Excel Inc., Palmetto,GA,30268,,,Worker died from head injuries after being thrown from his forklift.
FY 2012,8/18/12,8/10/12,D.J.S. Tractor and Trailer Service Inc., Conley,GA,30288,,,Worker was killed when he was pinned beneath the cab of a yard tractor he was repairing.
FY 2012,8/18/12,8/9/12,AAA National USA Inc., Atlanta,GA,30303,,,Worker died after being struck by lightning while collecting his tools from a roof.
FY 2012,7/14/12,7/6/12,Findlay Roofing, Atlanta,GA,30316,,,Worker making roofing repairs was electrocuted after touching a power line.
FY 2012,3/3/12,2/27/12,Clanton Masonry, Atlanta,GA,30329,,,"Worker standing on a scaffold platform was killed when a forklift hit the platform, which then hit a building under construction. The worker fell and the building collapsed on him."
FY 2012,11/5/11,10/24/11,R.L. Mitchell, Lyons,GA,30436,,,Worker installing metal roof panels on a warehouse building died after falling 21 feet through a roof opening.
FY 2012,12/31/11,12/20/11,Myceix Technologies Corporation, Gainesville,GA,30501,,,Worker handling materials inside of a humidity chamber died from injuries after an explosion occurred.
FY 2012,9/22/12,9/24/12,KAYCO Erectors Inc, Sugar Hill,GA,30518,,,Employee died after falling through floor hole while installing metal decking.
FY 2012,9/29/12,9/24/12,KAYCO Erectors Inc, Sugar Hill,GA,30518,,,Employee died after falling through floor hole while installing metal decking.
FY 2012,3/10/12,3/2/12,Koswire Inc., Flowery Branch,GA,30542,,,Worker operating a metal wiring machine was killed when he reached into the machine and was pulled in.
FY 2012,7/14/12,7/3/12,Escoe Industrial, Jefferson,GA,30549,,,"Worker was electrocuted after falling onto a 4,100-volt switch gear."
FY 2012,4/14/12,3/21/12,MidSouth Utility Group Inc., Washington,GA,30637,,,Worker was crushed in a rollover accident involving a tractor.
FY 2012,3/10/12,12/4/11,Durhamtown Plantation Sportsman Resort, Union Point,GA,30669,,,Worker operating a bobcat at a recreational resort died when a tree limb pierced a main vein/artery.
FY 2012,4/28/12,4/17/12,A.F.R. of Georgia Inc., Winder,GA,30680,,,Worker at a fiberglass manufacturing facility died after suffering a seizure.
FY 2012,2/4/12,1/26/12,The Bailey Company, Calhoun,GA,30701,,,Worker checking the rear brakes on his truck died after the truck ran over him.
FY 2012,3/10/12,3/2/12,San Saba Pecan, Harlem,GA,30814,,,Worker installing a new compressed air pipe was killed when the pipe exploded and struck his head.
FY 2012,6/30/12,6/13/12,Electrical Contractor Inc., Augusta,GA,30906,,,Worker making electrical repairs was electrocuted after touching a nearly 300-volt line.
FY 2012,7/7/12,5/23/12,Browntree Horses, Macon,GA,31211,,,Worker died from blunt force trauma to the head when a horse she was caring for kicked or stepped on her.
FY 2012,4/7/12,3/28/12,Marine Terminals Corporation - East dba Ports Amer, Savannah,GA,31401,,,Worker was struck and killed by a forklift at a marine terminal.
FY 2012,2/25/12,2/19/12,Southern Metals Recycling Inc., Savannah,GA,31405,,,Worker using knife to cut wire cut his finger. He fainted and later died from head injuries after falling to concrete floor.
FY 2012,12/17/11,12/5/11,Groundworks Unlimited, Savannah,GA,31411,,,Worker engaged in roadway patchwork was struck and killed by a motor vehicle.
FY 2012,11/26/11,11/3/11,Morris Roofing, Savannah,GA,31419,,,Worker died after slipping off ladder and falling 33 feet.
FY 2012,11/26/11,11/14/11,Terry & Joe Baker Farms, Norman Park,GA,31771,,,"Worker attempting to gain access to a moving trailer, slipped and was killed after being run over by another trailer."
FY 2012,9/22/12,6/29/12,Williams Warehouse Inc, Plains,GA,31780,,,Employee died after falling from a roof through a skylight while removing metal panels.
FY 2012,9/29/12,6/29/12,Williams Warehouse Inc, Plains,GA,31780,,,Employee died after falling from a roof through a skylight while removing metal panels.
FY 2012,12/17/11,12/2/11,Diversified Machinery Columbus, Columbus,GA,31904,,,Worker walking across the parking lot was struck and killed by a semi-truck delivering freight.
FY 2012,10/1/11,9/21/11,Gozip LLC, Hilo,HI,96720,,,One worker was killed and another worker was hospitalized after a zipline tower collapsed.
FY 2012,10/1/11,9/22/11,Aloha Tree Experts, Kailua,HI,96734,,,Worker was killed when he fell 28 feet from a tree that fell over at its base.
FY 2012,10/1/11,8/29/11,Mauna Loa Macadamia Nut Corporation, Keanu,HI,96749,,,Worker died when he struck a tree after crossing the center line on a private road.
FY 2012,3/3/12,2/21/12,W.A. Felix Builders, Honolulu,HI,96821,,,Worker died from falling debris while working in a trench.
FY 2012,5/19/12,5/18/12,Manatts Inc., Ames,IA,50010,,,Worker at an asphalt manufacturing facility was killed when his head was caught in a tank door.
FY 2012,7/14/12,7/5/12,Mail Contractors of America, Urbandale,IA,50322,,,Worker was run over and killed when he tried to stop a moving tractor.
FY 2012,4/7/12,4/4/12,Demco Manufacturing Co., Boyden,IA,51234,,,Worker using a forklift to load grain carts onto a semi-trailer was killed after becoming stuck between the forklift's frame and cage.
FY 2012,5/12/12,4/14/12,G&G Egg Inc., Spencer,IA,51301,,,Worker operating a lawn mower was found dead underneath the mower in a ditch.
FY 2012,2/18/12,2/9/12,Omaha Refinishing, Council Bluffs,IA,51501,,,"Worker who was overcome by vapors while refinishing a bathtub, died from asphyxiation."
FY 2012,8/4/12,7/31/12,Iowa DNR - Lake Manawa State Park, Council Bluffs,IA,51501,,,"Worker mowing lawn near canal drowned when mower fell into water, pinning worker underneath."
FY 2012,4/28/12,4/24/12,Oxton Transport Inc., Red Oak,IA,51566,,,Driver on top of transport trailer while monitoring levels of liquid fertilizer died after falling to the concrete after suffering a stroke.
FY 2012,2/25/12,2/8/12,Redmond Construction Inc., Bernard,IA,52032,,,Worker died from head injuries after falling 15 feet while doing construction work.
FY 2012,7/14/12,7/9/12,Consumers Cooperative Society, Kalona,IA,52247,,,Worker cleaning out a grain bin was found unresponsive on ground near bin.
FY 2012,5/5/12,5/1/12,A-1 Siding Inc., Marion,IA,52302,,,Worker died after falling 13 feet from a ladder while working on a second story window at a private residence.
FY 2012,9/15/12,9/10/12,Concrete Foundations Inc., Highway X20 and Abbe Hills Road,IA,52314,,,Back-hoe operator killed when vehicle rolled over and pinned him underneath.
FY 2012,5/12/12,5/12/12,Wal-Mart Stores Inc., Fairfield,IA,52556,,,"Worker was leaving store while on break, tripped on an outside curb and sustained head injuries."
FY 2012,7/21/12,7/16/12,Aluminum Co. of America Bettendorf,,IA,52722,,,Worker performing maintenance on a machine used to cut steel was struck and killed by an overhead carriage.
FY 2012,1/21/12,1/17/12,Estes Express Lines, Davenport,IA,60525,,,Worker was crushed between a dolly and a trailer while attempting to hook two trailers together.
FY 2012,7/7/12,6/27/12,R & R Holsteins, Gooding,ID,83330,,,Worker performing maintenance activities died when he was caught between a feed trailer and a loader.
FY 2012,8/18/12,8/12/12,U.S. Forest Service, Clearwater,ID,83546,,,Worker died when a tree fell on her while she was building a fireline.
FY 2012,1/14/12,12/23/11,Janis Plastics Inc., Antioch,IL,60002,,,Worker was found unresponsive on the floor. Cause of death not yet determined.
FY 2012,5/26/12,5/22/12,Arens Controls Company LLC, Arlington Heights,IL,60004,,,Worker testing energy components for use in hybrid vehicles was killed when an explosion occurred.
FY 2012,7/7/12,6/7/12,Bes Packaging Corp., Elk Grove Village,IL,60007,,,Worker changing a mold on a thermo forming machine was found dead slumped over at the machine.
FY 2012,4/21/12,4/14/12,Knox Swan & Dog LLC, North Barrington,IL,60010,,,"Worker patrolling a residential community pond while inside a kayak was attacked by swans, causing him to fall in the water and drown."
FY 2012,3/10/12,2/28/12,Allied Waste Services of North America LLC, Bensenville,IL,60105,,,Worker loading a dumpster on a truck at a waste services facility was found pinned between the truck and rail system.
FY 2012,12/17/11,12/12/11,Quality Scapes, Streamwood,IL,60107,,,Worker was crushed by an auger inside a salt truck.
FY 2012,12/24/11,12/13/11,K & Y Designs, Schaumburg,IL,60195,,,Worker installing graphic decals died after falling more than 11 feet.
FY 2012,4/7/12,4/4/12,Village of Stickney-Public Works, Stickney,IL,60402,,,Worker riding on the sidestep of a garbage truck died after becoming pinned between the truck and a protruding pipe.
FY 2012,10/8/11,9/30/11,Austin Tyler Construction, Lockport,IL,60441,,,Worker was struck by a truck.
FY 2012,4/21/12,4/9/12,Village of Romeoville- Public Works, Romeoville,IL,60446,,,Worker was struck and killed by a public works vehicle.
FY 2012,12/3/11,12/1/11,Blacha Trucking & Service, Alsip,IL,60453,,,Worker adjusting supports holding up a trailer was killed when his head and torso were caught between two side-by-side trailers.
FY 2012,8/25/12,8/9/12,R&A Construction of Illinois Inc., Willowbrook,IL,60527,,,Worker died from chemical burns after a varnish applied to a floor caught fire.
FY 2012,8/11/12,8/8/12,Ogden Avenue Materials Inc., Chicago,IL,60608,,,Worker died from injuries after falling from an elevated surface.
FY 2012,9/22/12,9/25/12,Jet Import Inc, Chicago,IL,60608,,,Worker died after being struck on the head by a pallet that had fallen from a trailer he was preparing to unload.
FY 2012,9/29/12,9/25/12,Jet Import Inc, Chicago,IL,60608,,,Worker died after being struck on the head by a pallet that had fallen from a trailer he was preparing to unload.
FY 2012,8/4/12,7/30/12,Soudan Metals Company Inc., Chicago,IL,60609,,,Worker processing a coil of rolled steel was struck by the steel roll and pinned between the roll and processing line.
FY 2012,11/19/11,11/18/11,Jan's Roofing Co., Chicago,IL,60618,,,Worker repairing a roof died after falling three stories to the ground.
FY 2012,11/19/11,11/16/11,Heneghan Wrecking Company, Chicago,IL,60619,,,Worker performing building demolition operations was fatally crushed when a section of the wall collapsed on him.
FY 2012,4/14/12,4/9/12,S & J Construction Co. Inc., Chicago,IL,60633,,,Worker was performing steel erection activities and was crushed by a steel beam.
FY 2012,12/10/11,11/24/11,University of Illinois at Chicago - Medical Center, Chicago,IL,60637,,,Worker was shot by a co-worker.
FY 2012,11/19/11,10/22/11,North Star Cable Construction, Chicago,IL,60651,,,Worker servicing a cable line died after falling 15 feet to the concrete pavement.
FY 2012,11/5/11,10/31/11,BJB Properties, Chicago,IL,60657,,,Worker was found unresponsive in a stairwell of the building where he worked.
FY 2012,3/10/12,3/6/12,Epstein Construction Inc., Chicago,IL,60661,,,Construction manager driving his truck on worksite suffered an apparent heart aneurism causing him to lose control of vehicle and strike a piece of construction equipment.
FY 2012,4/7/12,3/25/12,Metropolitan Water Reclamation District, Cicero,IL,60804,,,"Worker making sewer maintenance repairs stepped into a hole, injuring his ankle and back. The worker later died from complications during surgery."
FY 2012,7/14/12,7/7/12,Jose Galtan, Machesney Park,IL,61115,,,Worker loading appliances onto a delivery truck collapsed and died. Cause of death unknown.
FY 2012,8/18/12,8/15/12,Union Pacific Railroad Company, Deer Grove,IL,61243,,,Worker was killed after an 18-wheeler delivering a machine struck the worker.
FY 2012,3/24/12,3/20/12,Valsala Inc., Paw Paw,IL,61353,,,Worker installing a sensor on the highway was struck and killed by a semi-truck.
FY 2012,6/30/12,6/25/12,Illinois Department of Transportation - District 3 Ladd Yard, Springfield,IL,61362,,,"Highway maintenance worker performing mowing operations died after being thrown from the tractor, which landed on top of him."
FY 2012,11/19/11,11/9/11,Black Crow Candle Co., Canton,IL,61520,,,Worker died after falling 9 feet in an elevator shaft to the basement.
FY 2012,4/28/12,4/24/12,Wigand Disposal Company, Princeville,IL,61559,,,Worker collecting garbage died after he was run over by the trash truck.
FY 2012,8/25/12,8/24/12,Komatsu America Corp., Peoria,IL,61639,,,Worker died from injuries sustained while operating a machine used to test hydraulic cylinders.
FY 2012,8/25/12,8/16/12,Cargill Inc., Bloomington,IL,61702,,,Worker died after falling through a first floor hole onto the basement floor.
FY 2012,7/28/12,7/30/12,Illinois State University - Harris Physical Plant, Bloomington,IL,61709,,,University worker was found without a pulse after striking a telephone pole. Autopsy concluded worker died from natural causes.
FY 2012,8/11/12,7/26/12,Quaker Oats, Danville,IL,61832,,,Worker suffered fatal injuries after falling approximately 50 feet from a manlift.
FY 2012,8/11/12,8/4/12,Conagra Foods Inc., Alton,IL,62002,,,Worker died after falling nearly 70 feet while attempting to exit a manlift onto a building's 5th floor.
FY 2012,8/11/12,8/7/12,Kraft Foods Inc., Granite City,IL,62040,,,Employee died after being crushed between a forklift and metal storage racking.
FY 2012,3/31/12,3/28/12,Massman Traylor Alberici, East St. Louis,IL,62202,,,"Employee was working in an aerial lift over a river when a steel pile fell and struck the boom of the lift. The worker, still in the basket, fell into the river and drowned."
FY 2012,5/26/12,5/22/12,Briteway Stripping Services Inc., Fairview Heights,IL,62208,,,Road construction worker was struck and killed by a motorist.
FY 2012,11/19/11,11/18/11,Andrew T. Jacos, Belleville,IL,62220,,,Worker operating a wood chipper was killed after being pulled into the machine.
FY 2012,12/31/11,12/28/11,E Z Roofing, O'Fallon,IL,62269,,,Worker performing roofing activities died when he fell more than two stories to the concrete.
FY 2012,12/31/11,12/24/11,R&M Oil Supply, Smithton,IL,62285,,,Worker was found laying on the ground with his arm in a manhole.
